student_id,student_name,assigned_project
S001,Student 001,P201
S002,Student 002,P206
S003,Student 003,P211
S004,Student 004,P216
S005,Student 005,P215
S006,Student 006,P207
S007,Student 007,P212
S008,Student 008,P217
S009,Student 009,P203
S010,Student 010,P208
S011,Student 011,P213
S012,Student 012,P202
S013,Student 013,P204
S014,Student 014,P209
S015,Student 015,P214
S016,Student 016,P219
S017,Student 017,UNASSIGNED
S018,Student 018,P210
S019,Student 019,UNASSIGNED
S020,Student 020,P218
S021,Student 021,P206
S022,Student 022,P211
S023,Student 023,UNASSIGNED
S024,Student 024,P201
S025,Student 025,P207
S026,Student 026,UNASSIGNED
S027,Student 027,UNASSIGNED
S028,Student 028,P203
S029,Student 029,P208
S030,Student 030,P213
S031,Student 031,P202
S032,Student 032,P204
S033,Student 033,P209
S034,Student 034,UNASSIGNED
S035,Student 035,UNASSIGNED
S036,Student 036,UNASSIGNED
S037,Student 037,UNASSIGNED
S038,Student 038,UNASSIGNED
S039,Student 039,P220
S040,Student 040,UNASSIGNED
S041,Student 041,UNASSIGNED
S042,Student 042,UNASSIGNED
S043,Student 043,UNASSIGNED
S044,Student 044,P207
S045,Student 045,UNASSIGNED
S046,Student 046,UNASSIGNED
S047,Student 047,UNASSIGNED
S048,Student 048,P208
S049,Student 049,UNASSIGNED
S050,Student 050,UNASSIGNED
S051,Student 051,UNASSIGNED
S052,Student 052,UNASSIGNED
S053,Student 053,UNASSIGNED
S054,Student 054,UNASSIGNED
S055,Student 055,UNASSIGNED
S056,Student 056,UNASSIGNED
S057,Student 057,UNASSIGNED
S058,Student 058,P220
S059,Student 059,P205
S060,Student 060,UNASSIGNED
S061,Student 061,UNASSIGNED
S062,Student 062,UNASSIGNED
S063,Student 063,UNASSIGNED
S064,Student 064,UNASSIGNED
S065,Student 065,UNASSIGNED
S066,Student 066,UNASSIGNED
S067,Student 067,UNASSIGNED
S068,Student 068,UNASSIGNED
S069,Student 069,UNASSIGNED
S070,Student 070,UNASSIGNED
S071,Student 071,UNASSIGNED
S072,Student 072,UNASSIGNED
S073,Student 073,UNASSIGNED
S074,Student 074,UNASSIGNED
S075,Student 075,UNASSIGNED
S076,Student 076,UNASSIGNED
S077,Student 077,P220
S078,Student 078,UNASSIGNED
S079,Student 079,UNASSIGNED
S080,Student 080,UNASSIGNED
S081,Student 081,UNASSIGNED
S082,Student 082,UNASSIGNED
S083,Student 083,P217
S084,Student 084,UNASSIGNED
S085,Student 085,UNASSIGNED
S086,Student 086,UNASSIGNED
S087,Student 087,UNASSIGNED
S088,Student 088,UNASSIGNED
S089,Student 089,UNASSIGNED
S090,Student 090,UNASSIGNED
S091,Student 091,UNASSIGNED
S092,Student 092,UNASSIGNED
S093,Student 093,UNASSIGNED
S094,Student 094,UNASSIGNED
S095,Student 095,UNASSIGNED
S096,Student 096,P220
S097,Student 097,UNASSIGNED
S098,Student 098,UNASSIGNED
S099,Student 099,UNASSIGNED
S100,Student 100,P202
